lyric_id,title,title_sinhala,title_english,artist,music,melody,lyrics_author,image_url,video_url,youtube_video_id,lyrics
0,සිහින් සරින් ඉකි බිඳ බිඳ - ආත්මා ලියනගේ  |  Sihin sarin iki binda binda - Athma Liyange - sinhala lyrics,සිහින් සරින් ඉකි බිඳ බිඳ - ආත්මා ලියනගේ,Sihin sarin iki binda binda - Athma Liyange - sinhala lyrics,ආත්මා ලියනගේ,,ආත්මා ලියනගේ,කුමාරි ලංකා,https://1.bp.blogspot.com/-Xn7cpER_-KE/XQu1sLLhc1I/AAAAAAABwrM/KhrXpx9PJD8VCUNbyaV_9O2qD4qNoFBdgCK4BGAsYHg/s759/athma%2Bliyanage.jpg,https://www.youtube.com/embed/SF0tG3xufs0,SF0tG3xufs0,\n\nසිහින් සරින් ඉකි බිඳ බිඳහද හඬවනු ඇයිද කුමරිමල් හීසර නුඹේ වෙතටමා නොහෙළමි හීන කුමරිමා නොහෙළමි හීන කුමරි //\n\nආදරයේ වේදනාව දිනකදි ඔබහට දැණේවිඒ දැණුනම මගෙ හී වෙතඔබ නිහඬව බැණ වදීවිඔබ නිහඬව බැණ වදීවි\nසිහින් සරින් ඉකි බිඳ බිඳහද හඬවනු ඇයිද කුමරිමල් හීසර නුඹේ වෙතටමා නොහෙළමි හීන කුමරිමා නොහෙළමි හීන කුමරි\n\nආදරයේ කඳුළු පළසමත නිහඬව ඔබ හිඳීවිනිබඳව ඔබ හිඳිනා සඳහීන් හඬින් බැණවදීවිහීන් හඬින් බැණවදීවි\nසිහින් සරින් ඉකි බිඳ බිඳහද හඬවනු ඇයිද කුමරිමල් හීසර නුඹේ වෙතටමා නොහෙළමි හීන කුමරිමා නොහෙළමි හීන කුමරි\n\n
1,ක්ෂීර සාගරේ - ජයන්ත රත්නායක  |  Ksheera sagare - Jayantha Rathnayaka - sinhala lyrics,ක්ෂීර සාගරේ - ජයන්ත රත්නායක,Ksheera sagare - Jayantha Rathnayaka - sinhala lyrics,ජයන්ත රත්නායක,,රෝහණ වීරසිංහ,,https://1.bp.blogspot.com/-4-dGIRj5jus/XosSSKbUcPI/AAAAAAAB-sE/3Wpk4v4kic4dMUqeL4s2yeQuaTijd37LwCLcBGAsYHQ/s1600/jayantha%2Brathnayaka.jpg,https://www.youtube.com/embed/NqOtcN1TU0k,NqOtcN1TU0k,"\n
\n
\n
\n
ක්ෂීර සාගරේ තුරුණු මැදියමේ\n
රිදී වරල් සේ රළ කැළඹේ\n
වෙරළට ඇවිදින් දෙපා සිඹින විට\n
ගිණිගත් හදවත සුපහන් වේ\n
\n
මට ඔබ සිහිවෙයි\n
ඔබ මේ රළ පෙළ වාගෙයි\n
ගොර බිරම් හඬින් විටෙක කෑ ගසා\n
සිහින් සරින් තව විටෙන ළය නිවයි\n
\n
ආදර ලොව මහ සයුරක් සේ\n
ධන නිදහන් දී සිහිල සදා\n
නොපැතු විටක රැළි සුළි නංවා\n
ජීවිත ඉල්ලයි\n
\n
ඔබ මහ මුහුදක් වෙනවද\n
සැඩ බිඳි වෙරළේ රළ පෙළ වෙනවද\n
නැතිනම් රැළි සුළි අටවා\n
මා හසුවන තුරු බලා හිඳිනවද\n
බිලිවන්නට පෙර අසමි\n
එක හිතකින් පිළිතුරු පතමි\n
බිලිවන්නට පෙර අසමි\n
එක හිතකින් පිළිතුරු පතමි\n
\n
\n
"
2,මල් මුතු දා මේ - විජය කුමාරතුංග  ‍|  Mal muthu da me - Vijaya Kumarathunga - Sinhala lyrics,මල් මුතු දා මේ - විජය කුමාරතුංග  ‍,Mal muthu da me - Vijaya Kumarathunga - Sinhala lyrics,විජය කුමාරතුංග,,,,https://1.bp.blogspot.com/-nhEnElAA-90/XWvzvVH46VI/AAAAAAABzgg/opepfHqRM4Qa7G2U3oCNwtOW07yYeTqbgCPcBGAYYCw/s1600/vijaya%2Bkumarathunga%2B2-%2Bgee%2Bpadura%2B-%2B%25E0%25B6%259C%25E0%25B7%2593%2B%25E0%25B6%25B4%25E0%25B7%2590%25E0%25B6%25AF%25E0%25B7%2594%25E0%25B6%25BB.jpg,https://www.youtube.com/embed/5Ddbmq1DIqc,5Ddbmq1DIqc,"\n

\n
\n
මල් මුතු දා මේ ගෙල සැරසූ සේ\n
අරුණෝදේ දකින්නේ\n
වනවිල් තීරේ පියුමී වාගේ\n
වසන්තියයි මාගේ //\n
\n
නෙත් මල් පෙම් සිත් \n
ළං වුණ මොහොතේ\n
පායා සුදිලෙන්නේ //\n
මා හා එක් වූ සිසිලස් දහරේ\n
සඳ කුමරී ඔබ වේ\n
\n
මල් මුතු දා මේ ගෙල සැරසූ සේ\n
අරුණෝදේ දකින්නේ\n
වනවිල් තීරේ පියුමී වාගේ\n
වසන්තියයි මාගේ\n
\n
මිහිදුම් පිණි මල් \n
පිපි ගම්මානේ\n
සිහියෙන් නොමැකෙන්නේ //\n
වෙන් වී යන දා සසල නොවන්නේ\n
ඔබේ දෙනෙත් පමණී\n
\n
මල් මුතු දා මේ ගෙල සැරසූ සේ\n
අරුණෝදේ දකින්නේ\n
වනවිල් තීරේ පියුමී වාගේ\n
වසන්තියයි මාගේ //\n
\n
"
3,නොමග නොයන් පුතේ - විල්බට් ඇන්තනි  |  Nomaga noyan puthe obata ratak athe - Wilbert Anthony - sinhala lyrics,නොමග නොයන් පුතේ - විල්බට් ඇන්තනි,Nomaga noyan puthe obata ratak athe - Wilbert Anthony - sinhala lyrics,විල්බට් ඇන්තනි,,දයාරත්න රණතුංග,,https://1.bp.blogspot.com/-ekBKaMsx9dE/XUcUQtB9JpI/AAAAAAABymg/8EdSmkjJinsNDf9I4M7eBmsD0izdVF0ewCPcBGAYYCw/s1600/wilbert%2Banthony%2B1%2B-%2Bgee%2Bpadura.jpg,https://www.youtube.com/embed/bgqxT7Cw2v0,bgqxT7Cw2v0,"\n
නොමග නොයන් පුතේ\n
ඔබට රටක් ඇතේ //\n
රටේ දියුණ සැදුම නුඹට\n
බාරයි මගෙ පුතේ\n
බාරයි මගෙ පුතේ //\n
නොමග නොයන් පුතේ\n
ඔබට රටක් ඇතේ //\n
\n
අද කැඩු දේ හෙට ඕනෑ\n
විය හැකි වන නිසා\n
රටට උරුම කිසිම දෙයක්\n
බිම නොදමන් නසා\n
බිම නොදමන් නසා //\n
\n
තරුණ සවිය රට නැඟුමට\n
යොදනු සොඳින් සිතා\n
ඔබේ උපන් බිම කවදත්\n
ඔබටයි මගෙ පුතා\n
ඔබටයි මගෙ පුතා //\n
\n
නොමග නොයන් පුතේ\n
ඔබට රටක් ඇතේ //\n
රටේ දියුණ සැදුම නුඹට\n
බාරයි මගෙ පුතේ\n
බාරයි මගෙ පුතේ //\n
\n
යෝධ මහල් නැහැ කොහෙවත්\n
එක දවසින් තැණුනේ\n
ගඩොලින් ගඩොලක් තබලා\n
සෙමින් සෙමින් බැඳුණේ\n
සෙමින් සෙමින් බැඳුණේ //\n
\n
දුර නොබලා ඉක්මන් වී\n
නෑ නෑ පල ලැබුණේ\n
යන්නෙ කොහේදැයි නොම දැන\n
නොයන් ගමන් පුතුනේ\n
නොයන් ගමන් පුතුනේ //\n
\n
නොමග නොයන් පුතේ\n
ඔබට රටක් ඇතේ //\n
රටේ දියුණ සැදුම නුඹට\n
බාරයි මගෙ පුතේ\n
බාරයි මගෙ පුතේ //\n
නොමග නොයන් පුතේ\n
ඔබට රටක් ඇතේ //\n
\n
\n
"
4,සීගිරි සුකුමාලියේ - සී.ටී. ප්‍රනාන්දු  |  Seegiri sukumaliye - CT Fernando - sinhala lyrics,සීගිරි සුකුමාලියේ - සී.ටී. ප්‍රනාන්දු,Seegiri sukumaliye - CT Fernando - sinhala lyrics,සී.ටී. ප්‍රනාන්දු,,සී.ටී. ප්‍රනාන්දු,,https://1.bp.blogspot.com/-v3xaWM4QKcc/XSrrVu3vIuI/AAAAAAABxgo/oXq9ImC4VdU4eolQbkbA6i5IDFo6N5U2gCPcBGAYYCw/s1600/ct%2Bfernando%2B1.jpg,https://www.youtube.com/embed/9VNEzza4m-s,9VNEzza4m-s,"\n
සීගිරි සුකුමාලියේ හෙළ රජ සමයේ\n
මතකද අපි පාවුණා පෙම් අම නදියේ\n
ලස්සන ඔබෙ රූපයේ නෙත සිත බැඳුණේ\n
නාමය ශ්‍රී ලංකාවෙ රැව් දෙන්නේ \n
ඔබගෙනි සොඳුරේ\n
\n
\n
අතකින් මල් දරාලා හසරැලි පාලා\n
සුසිනිඳු සළු ඔතාලා විලවුන් ගාලා\n
ගෝමර පෙති විදාලා දිස්නය දීලා\n
ආදරයෙන් උන් කාලෙ මේ දෑසෙ\n
සිතුවම් වීලා\n
\n
සීගිරි සුකුමාලියේ හෙළ රජ සමයේ\n
මතකද අපි පාවුණා පෙම් අම නදියේ\n
ලස්සන ඔබෙ රූපයේ නෙත සිත බැඳුණේ\n
නාමය ශ්‍රී ලංකාවෙ රැව් දෙන්නේ \n
ඔබගෙනි සොඳුරේ\n
\n
\n
ඔබෙ රුව නැත මැකීලා කල් ගතවීලා\n
මුලු දෙනෙතින් බලාලා සිත සැනසීලා\n
ජන කවියන් ගොතාලා කව් පදමාලා\n
කී විලසින් මං ගයමී රන්වන් ගී\n
හද සපුරාලා\n
\n
සීගිරි සුකුමාලියේ හෙළ රජ සමයේ\n
මතකද අපි පාවුණා පෙම් අම නදියේ\n
ලස්සන ඔබෙ රූපයේ නෙත සිත බැඳුණේ\n
නාමය ශ්‍රී ලංකාවෙ රැව් දෙන්නේ \n
ඔබගෙනි සොඳුරේ\n
\n
\n
"
5,දෙවොලේ නොකැළැල් - සුනිල් එදිරිසිංහ  |  Dewole nokalel pidu adara mal - Sunil Edirisinghe - sinhala lyrics,දෙවොලේ නොකැළැල් - සුනිල් එදිරිසිංහ,Dewole nokalel pidu adara mal - Sunil Edirisinghe - sinhala lyrics,සුනිල් එදිරිසිංහ,,එච්.එම්. ජයවර්ධන,,https://1.bp.blogspot.com/-spZJxFT6ZV0/XRzu867s4NI/AAAAAAABxLE/2dAEehil6wkdKpuNlS6agYkvV1zS-JX5gCPcBGAYYCw/s1600/sunil%2Bedirisinghe%2B3.jpg,https://www.youtube.com/embed/4MYdfCDEokw,4MYdfCDEokw,"\n
දෙවොලේ නොකැළැල් පිදු ආදර මල්\n
සුවඳින් මනකල් පිබිදෙමි හැමකල් //\n
\n
\n
මලකින් මලකට ඇදෙමින් නොඉඳුල්\n
නිගා දෙවයි පෙම් ලොවටම මිහිලුන්\n
එක මලෙකින් පමණක් රොන් ගන්නම්\n
අන් මල් මත නොතබා උණු කඳුළැල්\n
\n
දෙවොලේ නොකැළැල් පිදු ආදර මල්\n
සුවඳින් මනකල් පිබිදෙමි හැමකල්\n
\n
\n
පවසට ඵල නැත සයුරේ රළ වැල්\n
දිය දෝතක් ගමි දොලකින් සිහිලැල්\n
පීඩිත වී සිටිනා සඳ අඳුරේ\n
ඔබ පමණයි ගෙන ආවේ හසරැල්\n
\n
දෙවොලේ නොකැළැල් පිදු ආදර මල්\n
සුවඳින් මනකල් පිබිදෙමි හැමකල් //\n
\n
\n
"
6,නවාතැන්පොළ ඔබයි - නන්දා මාලිනී  |  Nawathenpola obai - Nanda Malini - sinhala lyrics,නවාතැන්පොළ ඔබයි - නන්දා මාලිනී,Nawathenpola obai - Nanda Malini - sinhala lyrics,නන්දා මාලිනී,,එච්.එම්. ජයවර්ධන,,https://1.bp.blogspot.com/-Mte0v2N2KKE/XRzidW_Iw8I/AAAAAAABxK0/nSx_2abCIiwn3w6Po9NwszR4dtR751ntwCPcBGAYYCw/s1600/nanda%2Bmalini%2B2.jpg,https://www.youtube.com/embed/aiHJBnWJlDI,aiHJBnWJlDI,"\n
\n
නවාතැන්පොළ ඔබයි\n
ඔබගේ සිනාවයි\n
ජීවිතේ දිගු වන්දනා ගමනේ\n
ජීවිතේ දිගු වන්දනා ගමනේ\n
\n
ආලයේ වන බිඟුන් බමනා\n
ස්නේහයේ ජල තරඟ බිඳෙනා\n
නිල්ල දිලෙනා නිම්නයේ\n
ගරා ‍නොවැටෙන නවාතැන ඔබ\n
\n
නවාතැන්පොළ ඔබයි\n
ඔබගේ සිනාවයි\n
ජීවිතේ දිගු වන්දනා ගමනේ\n
ජීවිතේ දිගු වන්දනා ගමනේ\n
\n
දයාවේ සඳ සිසිල ලබනා\n
සාමයේ මඳ පවන රඳනා\n
හිම මිදෙන මිටියාවතේ\n
සදා උණුසුම් නවාතැන ඔබ\n
\n
නවාතැන්පොළ ඔබයි\n
ඔබගේ සිනාවයි\n
ජීවිතේ දිගු වන්දනා ගමනේ\n
ජීවිතේ දිගු වන්දනා ගමනේ\n
\n
\n
"
7,දූ පුතුනේ රට අපේය - ශාලිත අබේවික්‍රම  |  Du puthune rata apeya - Shalitha Abeywickrama - sinhala lyrics,දූ පුතුනේ රට අපේය - ශාලිත අබේවික්‍රම,Du puthune rata apeya - Shalitha Abeywickrama - sinhala lyrics,ශාලිත අබේවික්‍රම,,ජූඩ් පීරිස්,,https://1.bp.blogspot.com/-tpRHIavAfWE/XYPE9vWFoqI/AAAAAAAB0fY/wOJCkXLFJMstcclMrxInfGuGzl7bPGxCQCLcBGAsYHQ/s1600/shalitha%2Babeywickrama%2B1%2B-%2Bgee%2Bpadura%2B-%2B%25E0%25B6%259C%25E0%25B7%2593%2B%25E0%25B6%25B4%25E0%25B7%2590%25E0%25B6%25AF%25E0%25B7%2594%25E0%25B6%25BB.jpg,https://www.youtube.com/embed/ptlSQ62OK6Y,ptlSQ62OK6Y,"\n
\n
දූ පුතුනේ රට අපේය දූ පුතුනේ අප රටේය //\n
\n
මල් කැන් සුවඳ දේ ගල් කණුවල පිපුණු\n
ලේ දහදිය නටයි රණ දෙරණේ හැලුණු\n
ජාතිය නගන රිසියෙන් හද ඔද වැදුණු\n
එනු එදිරියට පුත පැරකුම් දුටු ගැමුණු\n
\n
දූ පුතුනේ රට අපේය දූ පුතුනේ අප රටේය //\n
\n
සමොනල ගිරග ඉර සඳ සැතපෙන තුරුම\n
රට වට මුහුද නිසලව නිදියන තුරුම\n
පුලතිසි පිළිමයට යළි පන එන තුරුම\n
මේ සිරි ලක් මඬල පුත අපිටයි උරුම\n
\n
දූ පුතුනේ රට අපේය දූ පුතුනේ අප රටේය /////\n
\n
\n
"
8,ඔබ හඬන්න ඇති රෑ පුරාම - එඩ්වඩ් ජයකොඩි  |  Oba handanna ethi re purama - Edward Jayakodi - sinhala lyrics,ඔබ හඬන්න ඇති රෑ පුරාම - එඩ්වඩ් ජයකොඩි,Oba handanna ethi re purama - Edward Jayakodi - sinhala lyrics,,,නාලක අංජන කුමාර,දයානන්ද රත්නායක,https://1.bp.blogspot.com/-zCjGMR3aXjs/XWapH6QqZOI/AAAAAAABzS8/1-dc4nmR1isGSI7Z7JtVeMGnONg2gAERACPcBGAYYCw/s1600/edward%2Bjayakodi%2B1%2B-%2Bgee%2Bpadura%2B-%2B%25E0%25B6%259C%25E0%25B7%2593%2B%25E0%25B6%25B4%25E0%25B7%2590%25E0%25B6%25AF%25E0%25B7%2594%25E0%25B6%25BB.jpg,https://www.youtube.com/embed/oJOy10kVg60,oJOy10kVg60,"\n
ඔබ හඬන්න ඇති රෑ පුරාම  \n
හිත ආල හැඟුම් බොඳ වුණාම\n
කාටත් නොකියා\n
ඒ කඳුළු බිංදු ගලා ගිහින් \n
රෝස මලක පෙති පුරාම \n
නොනිඳා හිටියා\n
\n
රළු බොරළු මගක ඇවිදින්\n
ඇස රිදුම් දෙමින් හැඬවූ\n
අතීතය මගෙයි\n
ඔබ අඬන අඬන වාරේ\n
නෙතු අගින් මිදී වැගිරෙන\n
කඳුළු උණුසුමයි\n
\n
මේ අහස පුරා රැඳුණේ\n
පිණි බිංදු වෙලා වැටුණේ\n
ඔබේ කඳුළුමයි\n
ඒ කඳුළු අරන් විසිරෙන\n
රෑ සුළඟ ඇවිත් සීතල\n
මගෙ හිත පාරයි\n
\n
ඔබ හඬන්න ඇති රෑ පුරාම  \n
හිත ආල හැඟුම් බොඳ වුණාම\n
කාටත් නොකියා\n
ඒ කඳුළු බිංදු ගලා ගිහින් \n
රෝස මලක පෙති පුරාම \n
නොනිඳා හිටියා\n
\n
\n
ගැයුම - එඩ්වඩ් ජයකොඩි\n
තනුව - නාලක අංජන කුමාර\n
ගී පද - දයානන්ද රත්නායක\n
\n
\n
\n
වීඩියෝව ගත්තෙ මෙතනින් - <a href=""https://www.youtube.com/watch?v=oJOy10kVg60"" target=""_blank"">Dayananda Rathnayake</a>"
9,සෙනෙහස රන් සිංහාසන - ත්‍යාගා එන්. එඩ්වඩ්  |  Senehasa ran sinhasana - Thyaga N Edward - sinhala lyrics,සෙනෙහස රන් සිංහාසන - ත්‍යාගා එන්. එඩ්වඩ්,Senehasa ran sinhasana - Thyaga N Edward - sinhala lyrics,ත්‍යාගා එන්. එඩ්වඩ්,,දයාරත්න රණතුංග,,https://1.bp.blogspot.com/-o0Udt01uN7I/XYJ7MRQBxeI/AAAAAAAB0ZU/56HQZ3SVy3sQiUiUt4-h79_Rhm19DFhYQCLcBGAsYHQ/s1600/thyaga%2Bn%2Bedward%2B1%2B-%2Bgee%2Bpadura%2B-%2B%25E0%25B6%259C%25E0%25B7%2593%2B%25E0%25B6%25B4%25E0%25B7%2590%25E0%25B6%25AF%25E0%25B7%2594%25E0%25B6%25BB.jpg,https://www.youtube.com/embed/glrn3MJG_8Q,glrn3MJG_8Q,"\n
සෙනෙහස රන් සිංහාසන හදේ මැවෙනවා\n
මතු සක්විති රජෙක් මගේ උකුලෙ නිදනවා\n
මගේ උකුලෙ නිදනවා //\n
\n
සුවඳ හැමූ යහන් ගැබේ සෙමෙර සලනවා\n
වෙසක් මහේ මලක් වගේ කුමරු නිදනවා\n
කිඹුල්වතින් එන පවනේ සුවය දැනෙනවා\n
පිනැති පුතුන් උපන් රටට ඉසුරු පිරෙනවා\n
\n
සෙනෙහස රන් සිංහාසන හදේ මැවෙනවා\n
මතු සක්විති රජෙක් මගේ උකුලෙ නිදනවා\n
මගේ උකුලෙ නිදනවා\n
\n
මධු ගංගා දෙතොල් අතර හැපී බිඳෙන්නේ\n
රුවන් පුළුන් වළා විමන් මත දැවටෙන්නේ\n
පොකුරු පොකුරු මල් ගෙන සුර සේනා එන්නේ\n
මෙවන් සිහින දැකලා දෝ පුතු හිනැහෙන්නේ\n
\n
සෙනෙහස රන් සිංහාසන හදේ මැවෙනවා\n
මතු සක්විති රජෙක් මගේ උකුලෙ නිදනවා\n
මගේ උකුලෙ නිදනවා //\n
\n
මගේ උකුලෙ නිදනවා //\n
\n
\n
"
